"Rows from: ilder_raw_rows","id","finn_url","finn_code","company_id","company_name_raw","job_title","description","application_url","location","employment_type","publication_date","expiration_date_raw","company_logo_url","scraped_at","status","created_at"
,,"https://www.finn.no/job/ad/439433465","439433465",,"PwC Norge","Frontend-utvikler","The job posting seeks a Frontend Developer to build innovative digital solutions using React/TypeScript with API integrations and AI, indicating a clear need for software development expertise.","https://www.finn.no/job/ad/439433465","Dronning Eufemias gate 71, 0194 Oslo",,,,,"2025-12-01 14:45:07.467+00",,
,,"https://www.finn.no/job/ad/439425739","439425739",,"HMH","Software Engineer","The job posting clearly indicates software development focused on digitizing workflows for offshore rig operations, using technologies like TypeScript, React, and DevOps, which shows a need for building and improving digital systems in the maritime/offshore industry.","https://www.finn.no/job/ad/439425739","Butangen 20, 4639 Kristiansand S",,,,,"2025-12-01 14:45:07.057+00",,
,,"https://www.finn.no/job/ad/439241534","439241534",,"KDA - Missiles & Space","Software Senior","The job posting describes software development and maintenance for advanced missile systems involving complex system-building and ongoing functional improvements, indicating a strong need for software expertise.","https://www.finn.no/job/ad/439241534","Kirkegårdsveien 45, 3616 Kongsberg",,,,,"2025-12-01 14:45:06.616+00",,
,,"https://www.finn.no/job/ad/439410765","439410765",,"Oceantech Innovation AS","OceanTech Innovation søker Engineering Lead","The job posting highlights development of advanced robotic solutions and technical leadership in offshore technology projects, indicating involvement in technology development and innovation where external software development services may be needed.","https://www.finn.no/job/ad/439410765","Skippergata 14, 7042 Trondheim",,,,,"2025-12-01 14:45:06.204+00",,
,,"https://www.finn.no/job/ad/439382236","439382236",,"TIETOEVRY FINTECH NORWAY AS","Platform Engineer","The job posting for a Platform Engineer at TietoEVRY Fintech Norway describes responsibilities involving building and maintaining internal developer platforms, CI/CD pipelines, container deployment, and integration with cloud services, indicating a strong focus on software development and platform digitalization.","https://www.finn.no/job/ad/439382236","1360 Fornebu",,,,,"2025-12-01 14:45:07.347+00",,
,,"https://www.finn.no/job/ad/433236589","433236589",,"Svanemerket","Nordic Lead Architect","The role involves leading IT and information architecture across the Nordic region with a focus on digitalization, vendor management, and improving IT infrastructure, indicating a clear need for software development and digitalization services.","https://www.finn.no/job/ad/433236589","Henrik Ibsens gate 20, 0255 Oslo",,,,,"2025-12-03 08:12:43.457+00",,
,,"https://www.finn.no/job/ad/440043286","440043286",,"Boliden Odda AS","Vedlikeholdstekniker","The description highlights a major modernization and digitalization project called Green Zink Odda 4.0 involving increased production capacity and a more digital everyday work environment, including use of systems like Maximo for maintenance management, indicating a need for external digital and system development expertise.","https://www.finn.no/job/ad/440043286","Eitrheimsneset, 5750 Odda",,,,,"2025-12-06 10:05:19.813+00",,
,,"https://www.finn.no/job/ad/439285680","439285680",,"Norsk Polarinstitutt","Elektroingeniør","The role involves technical operation and development of automated systems, SD/SCADA installations, and electrical engineering in an industrial research station environment, indicating relevant technical systems work and potential need for digitalization expertise.","https://www.finn.no/job/ad/439285680","Framsenteret, 9296 Tromsø",,,,,"2025-12-01 14:45:06.625+00",,
,,"https://www.finn.no/job/ad/440061929","440061929",,"PELAGIA AS","IT-Leder","The job posting for an IT leader at Pelagia AS clearly describes responsibilities for leading digital transformation, cloud services, Microsoft platform development, integrations, and strategic modernization projects, indicating a need for external digital and system development support.","https://www.finn.no/job/ad/440061929","Bradbenken 1, 5003 Bergen",,,,,"2025-12-04 10:05:59.92+00",,
,,"https://www.finn.no/job/ad/440165682","440165682",,"Netera","Planlegger","The role involves responsibility for maintaining a cartographic database and working with SCADA systems related to network infrastructure, indicating a need for digital system management and potential modernization support.","https://www.finn.no/job/ad/440165682","Mongstugata 9, 6600 Sunndalsøra",,,,,"2025-12-04 10:04:30.662+00",,
,,"https://www.finn.no/job/ad/440050127","440050127",,"Folkehelseinstituttet FHI","Bli med å forme fremtidens helsedata hos FHI - Vi søker erfarne .NET utviklere","The job description clearly indicates development and modernization of digital health data systems using modern technologies like C#/.NET, cloud platforms, AI, and automation within a sizable and innovative IT organization, showing a strong need for system development and modernization support.","https://www.finn.no/job/ad/440050127","Myrens Verksted 6H, 0476 Oslo",,,,,"2025-12-04 10:05:31.044+00",,
,,"https://www.finn.no/job/ad/439434400","439434400",,"PwC Norge","Backend-utvikler","The job posting for a Senior backend developer at PwC includes clear technical signals such as software development, backend system architecture, cloud-native solutions in Azure, APIs, CI/CD, and AI integration, indicating a need for external digitalization and software development services.","https://www.finn.no/job/ad/439434400","Dronning Eufemias gate 71, 0194 Oslo",,,,,"2025-12-01 14:45:06.406+00",,
,,"https://www.finn.no/job/ad/439877734","439877734",,"Direktoratet for forvaltning og økonomistyring (DFØ)","Avdelingsdirektør Markedsplass for skytjenester","The role involves strategic leadership and development of cloud services marketplace for the public sector, including managing digitalization initiatives and overseeing external resources, indicating a need for external software development or digitalization services.","https://www.finn.no/job/ad/439877734","Lørenfaret 1C, 0585 Oslo",,,,,"2025-12-03 08:13:11.04+00",,
,,"https://www.finn.no/job/ad/439852595","439852595",,"Cloud Connection AS","Løsningsarkitekt ERP","The role involves designing and integrating modern ERP solutions with technical architecture, API integrations, and digitalization efforts based on the Visma platform, indicating a clear need for external software development or digital consultancy services.","https://www.finn.no/job/ad/439852595","Grenseveien 82, 0663 Oslo",,,,,"2025-12-01 14:45:06.007+00",,
,,"https://www.finn.no/job/ad/423890829","423890829",,"AMS AS","Prosjektingeniør produksjonssystemer","The posting describes work on system architecture, integrations, automation, application development, and process optimization for industrial clients, indicating active investment in digital solutions that align closely with Ilder’s services.","https://www.finn.no/job/ad/423890829","Øyevollveien 10, 4460 Moi",,,,,"2025-12-20 10:07:48.318+00",,
,,"https://www.finn.no/job/ad/439909102","439909102",,"Euronext","Product Manager","The role involves leading product development projects and working with large datasets to develop innovative data-driven products, indicating involvement in digital product development that may require external software development support.","https://www.finn.no/job/ad/439909102","Tollbugata 2, 0152 Oslo",,,,,"2025-12-03 08:13:36.682+00",,
,,"https://www.finn.no/job/ad/439437513","439437513",,"Wood","Systemadministrator Databaser","The job posting explicitly involves development and operation of data warehouses, system integrations, and internal development projects with technologies like SQL, C#, .NET, Azure, and AI tools, indicating a clear need for advanced software and digitalization capabilities.","https://www.finn.no/job/ad/439437513","Fokserødveien 12, 3241 Sandefjord",,,,,"2025-12-01 14:45:07.456+00",,
,,"https://www.finn.no/job/ad/440061655","440061655",,"BKK","Trainee nettverks- og datateknologi","The job description highlights BKK's active efforts in optimizing infrastructure through new technology, programming, data utilization, digitalization, and testing of communication and control systems, indicating a need for external digitalization and system development expertise.","https://www.finn.no/job/ad/440061655","Solheimsgaten 5, 5058 Bergen",,,,,"2025-12-04 10:05:24.528+00",,
,,"https://www.finn.no/job/ad/439278404","439278404",,"Om Ditio","UX-Designer","The job posting is for a UX-designer working on advanced data capture software solutions for the construction industry, involving user experience design for digital products and collaboration with development teams, indicating a clear need for software development and digitalization expertise.","https://www.finn.no/job/ad/439278404","Edvard Griegs vei 3E, 5059 Bergen",,,,,"2025-12-01 14:45:06.839+00",,
,,"https://www.finn.no/job/ad/440017079","440017079",,"Nammo Raufoss AS","Vedlikeholdskoordinator","The role involves developing and taking ownership of the maintenance system (e.g., Hexagon EAM, D365), coordinating operational resources, and driving continuous improvements, indicating system development and process automation needs in an industrial setting.","https://www.finn.no/job/ad/440017079","Enggata 37, 2830 Raufoss",,,,,"2025-12-04 10:05:34.154+00",,
,,"https://www.finn.no/job/ad/439078782","439078782",,"GE HEALTHCARE AS","Senior Embedded-Systems C++ Software Developer - Handheld Ultrasound","The job posting is for an embedded C++ software developer role focused on designing and implementing complex embedded software systems for handheld medical ultrasound applications, indicating a clear need for advanced software development capabilities.","https://www.finn.no/job/ad/439078782","Forskningsparken, Gaustadalleen 21, 0349 Oslo",,,,,"2025-12-03 08:17:42.713+00",,
,,"https://www.finn.no/job/ad/440052149","440052149",,"Veas","Systemingeniør","The job at Veas involves developing and maintaining digital maintenance systems, databases, IT networks, server infrastructure, and cybersecurity, indicating a clear need for system improvement and digital modernization support.","https://www.finn.no/job/ad/440052149","Bjerkåsholmen 125, 3470 Slemmestad",,,,,"2025-12-05 10:04:52.663+00",,
,,"https://www.finn.no/job/ad/439887635","439887635",,"Sykehuset Innlandet HF","Prosjektleder","The project involves leading the implementation of health logistics, collaborating with IT and external suppliers on a strategic digital health initiative, indicating a need for technology and digitalization expertise.","https://www.finn.no/job/ad/439887635","Furnesvegen 26, 2382 Brumunddal",,,,,"2025-12-03 08:13:36.694+00",,
,,"https://www.finn.no/job/ad/439426715","439426715",,"Kongsberg Defence & Aerospace - Defence Systems - Land Systems","Vil du kode for samfunnskritiske systemer?","The job posting clearly describes a software developer role focused on building advanced, real-time, and robust defense systems with complex software architecture and integration, indicating a need for external software development expertise.","https://www.finn.no/job/ad/439426715","Kirkegårdsveien 45, 3616 Kongsberg",,,,,"2025-12-01 14:45:06.666+00",,
,,"https://www.finn.no/job/ad/439427836","439427836",,"Optimar","ICT & System Manager","The ICT & System Manager role involves system development, integration, automation, and digitalization initiatives across ERP, CRM, and CAD platforms, indicating a clear need for external software development or digitalization services.","https://www.finn.no/job/ad/439427836","Valderøyvegen 1129, 6050 Valderøya",,,,,"2025-12-01 14:45:06.867+00",,
,,"https://www.finn.no/job/ad/440061751","440061751",,"Brønnøysundregistrene","Seksjonsleder i avdeling registerforvaltning","The job description indicates leadership over a section responsible for digital service development and modernization using modern technology at Brønnøysundregistrene, a significant public-sector organization managing multiple registers and digital services like Enhetsregisteret.","https://www.finn.no/job/ad/440061751","Havnegata 48, 8910 Brønnøysund",,,,,"2025-12-04 10:04:36.948+00",,
,,"https://www.finn.no/job/ad/439235953","439235953",,"TIETOEVRY FINTECH NORWAY AS","SW developer","The job posting is for a systemutvikler (software developer) role focused on developing and modernizing critical banking applications and digital loan solutions, indicating a clear need for software development expertise.","https://www.finn.no/job/ad/439235953","1360 Fornebu",,,,,"2025-12-01 14:45:07.727+00",,
,,"https://www.finn.no/job/ad/439388185","439388185",,"Fair Group","Head of Integration","The role involves leading technical integration projects, managing API and cloud-based financial systems, and automating processes, clearly indicating a need for advanced software development and digitalization services.","https://www.finn.no/job/ad/439388185","Lørenveien 73A, 0585 Oslo",,,,,"2025-12-01 14:45:07.089+00",,
,,"https://www.finn.no/job/ad/439865147","439865147",,"Norconsult","BIM-rådgiver Vann, avløp og teknisk infrastruktur","The job involves developing modeling routines and improving digital project workflows using BIM and Trimble software tools in water and sewage infrastructure projects, indicating a digitalization initiative with technical elements.","https://www.finn.no/job/ad/439865147","Kjørboveien 22, 1337 Sandvika",,,,,"2025-12-01 14:45:06.414+00",,
,,"https://www.finn.no/job/ad/439899298","439899298",,"Lillehammer kommune","Digitaliseringskoordinator","The role explicitly involves coordinating and driving digital transformation and development of digital services in a municipality, indicating a need for external software or digitalization services.","https://www.finn.no/job/ad/439899298","Storgata 51, 2609 Lillehammer",,,,,"2025-12-03 08:13:29.394+00",,
,,"https://www.finn.no/job/ad/440055235","440055235",,"Maritime Robotics AS","Product Manager","The job posting for a Product Manager at Maritime Robotics AS involves strategic oversight of digital product development and delivery of autonomous maritime drone technology, indicating active system development and digital innovation needs.","https://www.finn.no/job/ad/440055235","Brattørkaia 11, 7010 Trondheim",,,,,"2025-12-06 10:05:16.44+00",,
,,"https://www.finn.no/job/ad/439260125","439260125",,"MEKON AS","Ingeniør System Design og Ingeniør Produktutvikling","The job posting is relevant because it involves system design and product development with technical system design and 3D modeling for the fishery and aquaculture industry, indicating potential need for external software or digitalization services.","https://www.finn.no/job/ad/439260125","Havnegata 7, 7010 Trondheim",,,,,"2025-12-01 14:45:07.337+00",,
,,"https://www.finn.no/job/ad/438121611","438121611",,"Nordic Maritime Cyber Resilience Centre","Senior Cyber Security Analyst","The description highlights ongoing development and improvement of internal tooling, automation, SOC processes, and monitoring architecture, which align with system development, automation, and modernization services Ilder provides.","https://www.finn.no/job/ad/438121611","Rådhusgata 25, 0158 Oslo",,,,,"2025-12-21 10:09:43.434+00",,
,,"https://www.finn.no/job/ad/439374315","439374315",,"Brunstad AS","Prosjektingeniør/ Produktutvikler","The job involves leading prototype development, working with IT-based management tools and CAD programs, and exploring AI potentials, indicating involvement in technology and digitalization relevant to external software development.","https://www.finn.no/job/ad/439374315","Sykkylvsvegen 415, 6230 Sykkylven",,,,,"2025-12-03 08:14:05.04+00",,
,,"https://www.finn.no/job/ad/440082544","440082544",,"Statnett","Testleder Driftsinformasjonssystem","The job posting describes responsibility for testing and further developing a complex, self-developed operational information system with AI implementation at Statnett, indicating active digital system development and modernization within a large energy infrastructure company.","https://www.finn.no/job/ad/440082544","Nydalen allé 33, 0484 Oslo",,,,,"2025-12-04 10:05:56.631+00",,
,,"https://www.finn.no/job/ad/439875081","439875081",,"MIKON AS","Konsulent","The job involves software development for Mikon industrial solutions, including system development, integrations, AI/machine learning, and technical support for industrial customers, indicating a clear need for digitalization expertise.","https://www.finn.no/job/ad/439875081","Sørkedalsveien 9, 0369 Oslo",,,,,"2025-12-03 08:13:29.396+00",,
,,"https://www.finn.no/job/ad/439249385","439249385",,"Eccera Professonals AS","Vi søker Spillutvikler / Arkitekt","The job posting is clearly about developing and improving software systems, specifically a multiplayer platform and XR solutions, indicating a need for external software development expertise.","https://www.finn.no/job/ad/439249385","Hamar, Norway, 2317 Hamar",,,,,"2025-12-01 14:45:07.714+00",,
,,"https://www.finn.no/job/ad/434867613","434867613",,"Nordic Pharma Inc AS","Automatiker","The posting describes ongoing development, optimization, and improvement of industrial automation systems (including software and hardware), and specifically mentions participation in development projects and process improvement work, all mapping directly to Ilder's digitalization and automation services.","https://www.finn.no/job/ad/434867613","Ropnesvegen 71, 9107 Kvaløya",,,,,"2025-12-29 10:08:22.407+00",,
,,"https://www.finn.no/job/ad/440075100","440075100",,"Movement AS","Utvikler","The job description clearly states the company is developing and modernizing proprietary systems for logistics, warehouse management, e-commerce, and partner integrations, indicating active digital product development and system improvement needs suitable for external software development assistance.","https://www.finn.no/job/ad/440075100","Regnbueveien 9, 1405 Langhus",,,,,"2025-12-04 10:03:57.701+00",,
,,"https://www.finn.no/job/ad/439303429","439303429",,"Solbakken Automasjon AS","Automatiker/Automasjonsingeniør","The job involves building and programming automation control panels and systems, indicating strong technical and automation-related work relevant for external software development or digitalization services.","https://www.finn.no/job/ad/439303429","Bømyra 6, 6387 Vågstranda",,,,,"2025-12-01 14:45:07.076+00",,
,,"https://www.finn.no/job/ad/439901218","439901218",,"Hitachi Energy Norway AS","Project Manager","The job posting for a Project Manager at Hitachi Energy Norway explicitly mentions leadership in developing new digital solutions for energy sector projects involving monitoring and security systems, indicating a clear digitalization and technology development focus.","https://www.finn.no/job/ad/439901218","Innspurten 11D, 0663 Oslo",,,,,"2025-12-03 08:13:10.193+00",,
,,"https://www.finn.no/job/ad/439427750","439427750",,"GE HEALTHCARE AS","Vedlikeholds- & Pålitelighetsingeniør","The role involves implementing predictive maintenance technologies and using digital/maintenance systems to improve equipment reliability, indicating a need for technical digitalization expertise potentially requiring external software development support.","https://www.finn.no/job/ad/439427750","Lindesnesveien 208, 4521 Lindesnes",,,,,"2025-12-01 14:45:06.017+00",,
,,"https://www.finn.no/job/ad/440054712","440054712",,"Convene AS","Account Manager","The job posting describes Convene AS as a company delivering self-service software and hardware solutions and continuously developing new digital products and services in the healthcare sector, indicating ongoing system development and digital innovation needs.","https://www.finn.no/job/ad/440054712","Skøyen, Oslo, Norge, 0277 Oslo",,,,,"2025-12-04 10:06:33.009+00",,
,,"https://www.finn.no/job/ad/439365157","439365157",,"Vow ASA","Commissioning Engineer – Elektro/Automasjon","The role involves setting up, configuring, and commissioning SCADA, DCS, and PLC systems, clearly indicating technical system-building work in industrial automation.","https://www.finn.no/job/ad/439365157","Nedre Langgate 19, 3126 Tønsberg",,,,,"2025-12-01 14:45:06.222+00",,
,,"https://www.finn.no/job/ad/439402118","439402118",,"Hemit, Systemutvikling","Systemutvikler","The job posting is clearly about software development of healthcare IT solutions including system integration and product lifecycle management, indicating a need for technical software development expertise potentially requiring external services.","https://www.finn.no/job/ad/439402118","Abels gt. 9, 7030 Trondheim",,,,,"2025-12-01 14:45:06.019+00",,
